[2025-02-17 11:41:04,718] 17 root - INFO - Initiate the data ingestion
[2025-02-17 11:41:07,962] 66 root - INFO - Performed train test split on the dataframe
[2025-02-17 11:41:07,962] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-17 11:41:07,962] 76 root - INFO - Exporting train and test file path.
[2025-02-17 11:41:08,152] 85 root - INFO - Exported train and test file path.
[2025-02-17 11:41:08,152] 19 root - INFO - Data Initiation completed
[2025-02-17 11:41:08,208] 23 root - INFO - Initiate the data validation
[2025-02-17 11:41:08,339] 32 root - INFO - Required number of columns:2
[2025-02-17 11:41:08,339] 33 root - INFO - Data frame has columns:31
[2025-02-17 11:41:08,339] 32 root - INFO - Required number of columns:2
[2025-02-17 11:41:08,339] 33 root - INFO - Data frame has columns:31
[2025-02-17 11:41:08,773] 25 root - INFO - Data validation completed
[2025-02-17 11:41:08,773] 28 root - INFO - data transformation started
[2025-02-17 11:41:08,773] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-02-17 11:41:08,773] 62 root - INFO - starting data transformation
[2025-02-17 11:41:08,841] 46 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-02-17 11:41:08,841] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-02-17 11:41:08,876] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-02-17 11:41:08,882] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-02-17 11:41:08,882] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-02-17 11:41:08,887] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-02-17 11:41:08,889] 32 root - INFO - data transformation completed
[2025-02-17 11:41:08,890] 35 root - INFO - Model Training sstared
[2025-02-17 11:48:32,562] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-02-17 11:48:32,562] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-02-17 11:48:32,562] 126 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_17_2025_11_40_50\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9904471544715447, precision_score=0.9880373073803731, recall_score=0.9928687856560717), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.98, precision_score=0.9792166266986411, recall_score=0.9807846277021617))
[2025-02-17 11:48:32,587] 40 root - INFO - Model Training artifact created
